67	68	65	71	70	65	64	65	68	71	70	71	70	70	66	73	70	66	67	65	72	71	69	64	73	69	66	70	73	70	70	68	73	67
72	68	65	70	66	69	69	73	73	70	68	69	70	69	67	65	70	67	73	67	73	66	68	69	70	69	73	70	67	66	69	69	72	68
70	69	64	73	69	70	72	72	64	69	67	69	71	69	65	69	70	66	71	66	67	66	71	67	73	66	73	73	73	70	66	66	71	66
64	70	65	68	68	66	64	71	72	67	72	67	70	64	67	64	72	73	66	66	66	65	66	64	66	71	70	67	67	64	73	71	72	73
67	72	71	64	66	71	70	65	73	67	67	64	64	73	71	69	65	68	72	70	73	65	64	65	66	66	72	68	73	67	65	65	69	68
70	71	64	72	72	69	72	73	71	65	71	64	71	73	67	67	69	67	73	69	73	66	71	67	67	67	65	68	70	73	69	68	68	66
66	64	66	71	69	65	71	68	66	65	72	64	69	73	66	69	67	68	67	65	69	69	65	66	67	68	68	64	73	68	65	65	73	68
70	70	71	67	71	73	69	67	71	64	67	65	71	71	69	68	68	73	67	67	69	68	72	64	69	68	65	71	66	72	65	68	73	64
66	73	65	68	71	73	72	68	64	67	69	71	73	69	66	69	73	68	72	70	65	67	66	70	71	68	68	72	64	64	69	73	65	68
71	70	66	72	73	73	65	71	65	67	69	73	64	67	70	69	70	73	67	73	67	69	73	68	499	490	497	491	498	497	494	497	490	491
70	69	70	71	68	71	71	65	65	67	70	73	70	65	67	64	73	66	65	67	66	64	73	65	72	72	68	73	67	70	65	73	71	72
73	68	67	67	68	64	68	70	65	65	73	66	66	70	68	64	64	68	72	66	72	69	68	70	64	73	71	68	66	66	72	64	65	69
67	69	67	71	69	65	65	73	73	73	68	65	71	68	68	66	67	64	69	67	70	70	73	73	65	70	65	0	66	69	67	73	68	65
68	70	70	65	66	65	71	70	69	65	67	67	67	65	67	66	73	66	67	71	71	66	66	67	64	71	71	66	71	70	69	69	70	71
67	69	66	67	67	73	70	64	73	64	65	70	65	66	73	68	69	69	73	65	73	65	68	64	68	69	68	69	67	71	69	66	72	71
68	65	68	65	72	67	73	70	73	66	71	71	71	68	67	65	70	70	72	71	72	66	70	72	72	68	71	69	68	65	64	67	64	73
64	71	66	66	66	73	66	66	69	69	71	72	73	71	66	71	69	73	73	66	64	70	67	70	72	69	69	64	67	64	65	73	66	73
64	71	71	67	66	68	65	70	67	65	64	72	70	72	66	67	67	69	72	71	66	72	72	71	67	64	73	66	73	71	70	69	67	65
67	70	71	70	73	67	70	70	72	67	69	73	72	69	72	66	70	72	66	73	73	65	64	70	66	64	67	65	73	70	65	71	73	66
71	69	65	73	65	66	66	70	64	72	72	68	71	65	70	65	71	68	70	68	73	67	67	71	65	65	73	69	71	67	73	65	66	72
68	68	64	66	69	64	66	68	66	69	64	70	66	68	65	70	65	72	66	66	64	65	72	68	64	67	68	68	72	64	68	73	65	64
65	73	66	72	72	71	73	73	73	68	73	64	73	64	71	66	68	69	66	69	67	67	72	64	67	73	69	65	68	70	68	72	69	65
68	66	69	68	68	65	73	72	73	73	67	72	65	70	68	65	72	69	71	72	71	65	68	72	65	69	65	69	68	72	68	64	73	71
67	67	72	72	71	64	65	70	70	73	66	69	65	64	71	64	68	73	67	72	66	66	64	70	64	65	64	67	67	68	64	72	68	72
66	65	66	71	65	64	71	72	73	66	69	69	71	72	72	70	72	72	73	65	72	64	70	73	73	65	72	68	67	68	70	72	73	67
64	70	71	68	64	65	69	68	70	67	72	68	72	64	64	66	68	64	72	72	65	73	72	67	64	65	71	66	67	71	68	64	64	72
66	70	65	71	72	73	64	71	65	68	72	65	72	71	67	67	71	71	73	72	71	65	68	70	71	68	65	73	64	65	72	68	65	72
72	68	64	67	72	72	70	73	65	65	70	73	71	67	70	72	65	73	64	73	69	65	67	72	69	67	70	73	71	70	72	68	71	65
73	65	73	69	73	67	64	69	69	66	70	70	73	71	70	67	67	66	72	69	71	73	69	67	71	73	72	68	70	73	64	64	71	71
